D1 LH,D1 RH,D2 LH,D2 RH,D3 LH,D3 RH
14,4,3,4,5,5
2,18,5,10,13,1
7,3,2,6,5,15
20,1,10,1,6,2
3,3,12,9,1,3
14,1,5,7,12,20
17,20,3,20,4,6
15,12,17,19,8,16
3,7,5,18,10,5
3,4,6,3,19,2
5,16,9,3,15,5
10,17,13,15,10,7
16,11,7,7,5,11
9,20,18,14,2,2
9,16,8,7,20,17
12,6,2,7,6,7
15,3,3,8,3,5
15,12,16,4,20,11
8,2,19,19,16,5
20,12,13,17,16,20
9,3,4,1,14,18
19,17,7,17,9,6
14,11,5,2,2,19
4,5,2,7,17,2
19,4,11,7,9,6
7,8,14,12,3,19
3,16,13,13,1,8
4,4,4,6,2,7
12,4,12,5,13,4
12,7,20,8,1,4
12,5,17,16,20,7
10,12,15,11,17,3
3,10,1,6,12,10
12,1,5,20,14,1
1,14,5,14,5,4
20,13,5,15,4,19
13,10,15,11,6,18
2,11,16,1,3,9
16,6,17,5,13,9
9,11,4,13,6,9
16,6,3,3,16,10
16,10,2,8,9,7
13,13,14,15,2,5
20,18,10,19,7,3
14,6,2,6,5,1
17,4,15,6,9,15
1,19,6,7,12,10
9,10,7,14,3,11
3,2,9,6,6,16
15,3,4,5,2,3
20,11,1,2,6,15
14,12,12,7,3,7
12,2,15,4,1,2
6,13,5,12,15,3
12,20,3,4,19,16
2,8,15,11,1,6
16,9,8,12,4,14
15,2,15,19,8,5
13,2,13,16,11,2
8,14,16,1,1,11
15,2,7,18,15,20
3,6,18,15,16,18
17,8,5,4,9,7
12,5,2,14,1,3
15,19,11,10,12,2
11,20,16,16,2,3
13,8,14,12,6,11
6,1,14,14,6,1
3,15,20,7,6,3
6,6,3,5,16,6
12,18,6,5,19,3
8,9,9,2,5,4
6,6,12,5,15,2
12,7,4,12,15,17
1,11,10,18,2,18
16,18,4,1,12,4
10,10,18,12,6,9
5,1,6,3,9,9
12,20,2,9,11,18
10,10,5,1,9,19
8,11,5,19,9,2
12,18,2,16,5,6
1,18,14,19,4,1
16,15,19,1,6,12
12,15,4,12,18,17
2,9,4,8,12,5
3,15,10,14,6,7
17,20,2,16,5,14
5,3,7,18,12,13
12,7,14,7,2,13
3,4,7,18,2,10
19,4,20,12,12,10
11,10,5,15,1,9
17,8,15,3,7,9
15,19,2,7,7,20
13,12,9,14,9,5
13,12,11,10,5,1
11,12,9,6,12,9
16,19,13,19,2,1
3,12,1,9,6,10
18,12,5,13,13,14
11,17,20,3,5,10
5,8,2,19,7,9
16,5,11,17,19,2
10,4,8,9,11,1
7,17,20,18,10,17
17,12,16,3,9,5
1,7,10,8,3,12
13,12,3,6,8,18
13,19,1,13,10,12
2,15,13,4,19,17
16,18,18,14,6,5
2,6,19,9,14,13
14,20,5,2,20,3
13,2,3,2,5,20
14,11,13,16,19,20
9,18,6,14,13,2
10,14,17,12,4,1
4,7,3,19,11,1
8,5,4,10,9,9
3,7,8,18,9,15
13,9,11,15,10,11
16,14,10,10,18,4
2,17,20,13,12,12
15,11,20,14,18,2
11,3,3,3,6,19
11,3,20,15,11,1
18,6,19,11,8,11
16,3,13,12,6,5
3,8,2,4,9,6
5,19,16,14,7,11
11,18,2,3,3,2
12,18,20,2,12,13
11,2,18,6,3,1
12,4,15,5,3,12
5,8,9,2,4,6
3,13,8,3,18,1
14,10,19,16,8,3
19,14,20,18,3,13
9,2,15,14,1,14
10,3,20,14,1,8
14,5,5,8,15,12
15,1,14,6,7,1
14,8,17,5,12,20
6,19,5,8,4,16
6,11,16,12,7,4
11,5,12,2,8,2
18,11,16,4,16,17
11,10,13,17,13,12
20,13,12,20,5,7
4,2,8,15,6,4
10,11,3,8,7,9
5,8,6,10,12,10
7,9,8,11,10,1
9,19,11,12,9,3
17,9,12,4,2,10
18,2,7,8,18,11
10,2,2,14,6,17
13,10,5,5,9,8
15,17,8,18,14,13
9,11,10,3,5,11
3,12,5,14,4,5
8,14,18,13,11,16
4,14,3,8,1,20
12,5,3,6,8,14
15,6,11,2,4,6
3,7,8,4,6,9
7,6,7,15,12,15
17,17,11,9,2,2
1,17,11,6,3,2
16,12,12,19,17,19
9,15,2,3,3,9
3,1,3,6,4,9
6,5,2,9,13,1
9,1,14,11,4,9
11,17,8,1,8,5
12,9,9,10,4,13
15,12,20,15,8,19
3,11,9,14,1,2
1,9,4,4,9,9
5,14,14,17,6,13
9,17,4,16,10,3
12,6,20,16,9,6
10,10,10,15,11,11
